Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_RESPONSE_TO_ETHER	11	0.53298	0.74426	1	0.46702	0.25674	0.50217	0.43716	0.73327	0.90727	5	0.45343	0.73926	1	6	0.42359	0.58741	0.80731
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_CELLULAR_RESPONSE_TO_CHEMICAL_STIMULUS	25	0.53059	0.84515	1	0.46941	0.15584	0.37695	0.36363	0.39061	0.74816	11	0.34637	0.42258	1	14	0.3772	0.39061	0.67962
GO_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	22	0.30533	0.014985	0.31062	0.69467	0.98601	1	0.3399	0.26174	0.6484	17	0.32095	0.27672	0.95895	5	0.40432	0.54046	0.78178
GO_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	10	0.58832	0.88312	1	0.41168	0.11788	0.3175	0.4482	0.73626	0.90749	5	0.62484	0.96404	1	5	0.27156	0.2028	0.52689
GO_RESPONSE_TO_NUTRIENT	184	0.54459	1	1	0.45541	0.000999	0.013594	0.32093	0.005994	0.16213	79	0.31304	0.047952	0.7014	105	0.32687	0.006993	0.10037
GO_ORGANELLE_LOCALIZATION	394	0.48175	0.9001	1	0.51825	0.1009	0.28914	0.35763	0.062937	0.4167	197	0.32113	0.013986	0.49589	197	0.39412	0.41858	0.70133
GO_VENOUS_BLOOD_VESSEL_DEVELOPMENT	15	0.65689	0.99001	1	0.34311	0.010989	0.069939	0.28207	0.08991	0.46812	5	0.39378	0.59241	1	10	0.22621	0.032967	0.23098
GO_EXECUTION_PHASE_OF_APOPTOSIS	53	0.37983	0.046953	0.58671	0.62017	0.95405	1	0.35952	0.28372	0.66345	35	0.33309	0.23976	0.95731	18	0.41092	0.57443	0.79987
GO_CELL_DEVELOPMENT	1331	0.47348	0.92408	1	0.52652	0.076923	0.2462	0.38221	0.51548	0.80602	716	0.37653	0.78022	1	614	0.38783	0.16583	0.47665
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	57	0.41106	0.13287	1	0.58894	0.86813	0.99561	0.40884	0.73526	0.90727	31	0.29299	0.10789	0.82972	26	0.54697	0.99101	1
GO_TELENCEPHALON_DEVELOPMENT	222	0.47932	0.7952	1	0.52068	0.20579	0.43742	0.34451	0.03996	0.35811	119	0.35001	0.26274	0.95895	103	0.33816	0.022977	0.18976
GO_PROSTANOID_METABOLIC_PROCESS	26	0.49223	0.68332	1	0.50777	0.31768	0.57008	0.29853	0.095904	0.47657	14	0.33421	0.35664	0.97933	12	0.25691	0.054945	0.30047
GO_MEMBRANE_REPOLARIZATION	14	0.48153	0.60739	1	0.51847	0.39361	0.64668	0.32936	0.25275	0.64141	7	0.29242	0.26573	0.95895	7	0.3663	0.38661	0.67718
GO_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	14	0.47152	0.56244	1	0.52848	0.43856	0.68647	0.41763	0.66134	0.8739	8	0.44059	0.74326	1	6	0.38701	0.49351	0.74827
GO_CLATHRIN_MEDIATED_ENDOCYTOSIS	35	0.45956	0.4965	1	0.54044	0.5045	0.74499	0.32352	0.14885	0.53207	18	0.26368	0.091908	0.80971	17	0.38689	0.42657	0.70644
GO_PHOSPHATIDYLETHANOLAMINE_ACYL_CHAIN_REMODELING	23	0.3249	0.023976	0.40135	0.6751	0.97702	1	0.41719	0.6983	0.89425	17	0.36885	0.52148	1	6	0.55416	0.88611	0.96194
GO_RESPONSE_TO_GONADOTROPIN	25	0.59378	0.97303	1	0.40622	0.027972	0.12993	0.3549	0.34166	0.71592	10	0.42809	0.75325	1	15	0.30611	0.10889	0.39617
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	96	0.46842	0.58242	1	0.53158	0.41858	0.66816	0.3375	0.086913	0.46229	49	0.28916	0.02997	0.59034	47	0.3879	0.37862	0.67248
GO_RESPONSE_TO_COBALT_ION	12	0.71712	0.996	1	0.28288	0.004995	0.040882	0.20075	0.023976	0.29219	3	0.26998	0.32268	0.96677	9	0.17767	0.012987	0.14328
GO_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	15	0.48495	0.60839	1	0.51505	0.39261	0.64552	0.48951	0.9031	0.9665	9	0.54951	0.95504	1	6	0.3995	0.53147	0.7756
GO_MATERNAL_PLACENTA_DEVELOPMENT	30	0.50893	0.78921	1	0.49107	0.21179	0.44462	0.22402	0.001998	0.096338	15	0.24188	0.046953	0.69831	15	0.20615	0.003996	0.073233
GO_MACROMOLECULE_METHYLATION	175	0.40714	0.01998	0.36324	0.59286	0.98102	1	0.36145	0.18881	0.57565	112	0.35604	0.36464	0.9842	63	0.37106	0.24675	0.56092
GO_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	99	0.49052	0.80919	1	0.50948	0.19181	0.42039	0.31769	0.022977	0.29039	54	0.35717	0.38462	0.99279	45	0.27032	0.002997	0.062111
GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	14	0.59207	0.92807	1	0.40793	0.072927	0.23735	0.40434	0.6014	0.84692	4	0.27984	0.3027	0.95895	10	0.45414	0.74525	0.89936
GO_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	37	0.52313	0.85814	1	0.47687	0.14286	0.35742	0.43063	0.83017	0.93873	17	0.43072	0.78422	1	20	0.43055	0.68132	0.85989
GO_CHROMATIN_SILENCING_AT_RDNA	33	0.34354	0.026973	0.42581	0.65646	0.97403	1	0.35645	0.33666	0.71388	23	0.31384	0.20779	0.94844	10	0.45447	0.74625	0.89936
GO_RESPONSE_TO_FOLIC_ACID	14	0.54659	0.82318	1	0.45341	0.17782	0.40349	0.31229	0.19481	0.58232	5	0.16766	0.072927	0.76591	9	0.39264	0.47652	0.73791
GO_GROWTH_PLATE_CARTILAGE_DEVELOPMENT	12	0.39215	0.25674	1	0.60785	0.74426	0.91632	0.38899	0.54446	0.8165	9	0.44887	0.77423	1	3	0.20937	0.15684	0.46312
GO_O_GLYCAN_PROCESSING	54	0.47528	0.65335	1	0.52472	0.34765	0.60077	0.45313	0.94505	0.97916	27	0.40369	0.72228	1	27	0.50258	0.96903	0.99575
GO_POSITIVE_REGULATION_OF_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	99	0.51337	0.93207	1	0.48663	0.068931	0.22853	0.42973	0.93506	0.97737	48	0.43948	0.94705	1	51	0.42054	0.68232	0.86007
GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	93	0.61689	1	1	0.38311	0.000999	0.013594	0.34953	0.15684	0.54362	35	0.44639	0.92907	1	58	0.29109	0.003996	0.073233
GO_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	34	0.58523	0.98202	1	0.41477	0.018981	0.10012	0.39806	0.64036	0.86054	13	0.43577	0.77922	1	21	0.37472	0.35564	0.65748
GO_NEUTRAL_AMINO_ACID_TRANSPORT	32	0.33194	0.020979	0.37077	0.66806	0.98002	1	0.42283	0.77023	0.91938	24	0.39114	0.62837	1	8	0.5179	0.84915	0.94766
GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	142	0.45584	0.46553	1	0.54416	0.53546	0.77171	0.39922	0.76823	0.91926	78	0.37274	0.54845	1	64	0.4315	0.79321	0.92091
GO_MESENCHYME_MORPHOGENESIS	38	0.5234	0.87013	1	0.4766	0.13087	0.3391	0.40695	0.7013	0.8955	17	0.3895	0.61938	1	21	0.42108	0.63536	0.83171
GO_CENTROSOME_DUPLICATION	31	0.36113	0.053946	0.64329	0.63887	0.94705	1	0.36722	0.40759	0.75684	22	0.3585	0.42757	1	9	0.38852	0.46254	0.72976
GO_REGULATION_OF_BINDING	281	0.48684	0.91508	1	0.51316	0.085914	0.26485	0.36729	0.21379	0.60328	142	0.34793	0.22577	0.95731	139	0.38706	0.2957	0.61197
GO_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	506	0.45089	0.26474	1	0.54911	0.73626	0.91329	0.36841	0.16883	0.55724	289	0.3611	0.35664	0.97933	217	0.37815	0.16384	0.47429
GO_POSITIVE_REGULATION_OF_CHEMOTAXIS	118	0.51542	0.95604	1	0.48458	0.044955	0.1757	0.43528	0.96803	0.98808	60	0.47501	0.997	1	58	0.39418	0.47652	0.73791
GO_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	106	0.47671	0.6953	1	0.52329	0.30569	0.55599	0.38304	0.50749	0.80401	55	0.36059	0.44156	1	51	0.40726	0.57043	0.79806
GO_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	15	0.65499	0.99001	1	0.34501	0.010989	0.069939	0.34492	0.31568	0.6974	4	0.35294	0.47453	1	11	0.342	0.26873	0.58337
GO_REGULATION_OF_ARF_PROTEIN_SIGNAL_TRANSDUCTION	15	0.59424	0.94306	1	0.40576	0.057942	0.20497	0.37981	0.4975	0.79874	5	0.35243	0.47153	1	10	0.3935	0.49151	0.74806
GO_PROTEIN_AUTOPHOSPHORYLATION	189	0.46607	0.58741	1	0.53393	0.41359	0.66329	0.41448	0.90709	0.96811	104	0.4063	0.90709	1	85	0.42449	0.77423	0.91031
GO_CELLULAR_COMPONENT_DISASSEMBLY	492	0.4477	0.22078	1	0.5523	0.78022	0.94307	0.36225	0.066933	0.42296	284	0.35697	0.25674	0.95895	208	0.36945	0.072927	0.33832
GO_REGULATION_OF_GLIOGENESIS	86	0.499	0.86713	1	0.501	0.13387	0.34286	0.39551	0.64336	0.86248	46	0.43306	0.91109	1	40	0.35232	0.17483	0.48581
GO_AMINOGLYCAN_CATABOLIC_PROCESS	65	0.50054	0.83616	1	0.49946	0.16484	0.38668	0.3309	0.078921	0.44485	34	0.36146	0.5005	1	31	0.29739	0.030969	0.22297
GO_POSITIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	29	0.61043	0.99001	1	0.38957	0.010989	0.069939	0.32874	0.18482	0.57372	11	0.40628	0.66833	1	18	0.28135	0.056943	0.30464
GO_MUSCLE_CELL_DIFFERENTIATION	223	0.52297	0.997	1	0.47703	0.003996	0.034622	0.38335	0.51848	0.80815	107	0.40506	0.88112	1	115	0.35778	0.080919	0.35357
GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	12	0.406	0.31069	1	0.594	0.69031	0.88631	0.31046	0.22278	0.61191	7	0.24782	0.14985	0.87849	5	0.39815	0.53147	0.7756
GO_PHOSPHATIDYLCHOLINE_ACYL_CHAIN_REMODELING	26	0.27331	0.003996	0.13849	0.72669	0.997	1	0.39369	0.56643	0.82791	21	0.344	0.36563	0.9842	5	0.60239	0.92507	0.97591
GO_RNA_LOCALIZATION	173	0.3784	0.000999	0.053392	0.6216	1	1	0.41186	0.90609	0.96784	118	0.39059	0.79421	1	55	0.4575	0.92108	0.97447
GO_MULTI_ORGANISM_MEMBRANE_ORGANIZATION	29	0.49888	0.71628	1	0.50112	0.28472	0.53269	0.34261	0.26174	0.6484	15	0.36235	0.47053	1	14	0.32145	0.17283	0.48389
GO_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	30	0.44096	0.37762	1	0.55904	0.62338	0.83721	0.29468	0.056943	0.40095	17	0.27346	0.10789	0.82972	13	0.32242	0.17383	0.48455
GO_HISTONE_H4_ACETYLATION	42	0.36642	0.036963	0.51889	0.63358	0.96404	1	0.38172	0.5005	0.79979	27	0.31132	0.17982	0.915	15	0.50844	0.91508	0.97324
GO_MATING_BEHAVIOR	22	0.60912	0.96304	1	0.39088	0.037962	0.15827	0.31653	0.17682	0.56269	9	0.43138	0.72527	1	13	0.23701	0.032967	0.23098
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	48	0.25486	0.000999	0.053392	0.74514	1	1	0.34126	0.17682	0.56269	36	0.23398	0.002997	0.25062	12	0.66308	0.998	1
GO_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	13	0.52382	0.73926	1	0.47618	0.26174	0.5068	0.42841	0.70629	0.89723	6	0.4324	0.70929	1	7	0.42499	0.58342	0.80556
GO_INACTIVATION_OF_MAPK_ACTIVITY	25	0.50999	0.75624	1	0.49001	0.24476	0.48688	0.38489	0.53147	0.81268	11	0.32372	0.32567	0.96677	14	0.43296	0.63337	0.82983
GO_PEPTIDYL_ARGININE_METHYLATION	13	0.41886	0.32667	1	0.58114	0.67433	0.8744	0.464	0.81119	0.93386	8	0.43265	0.71828	1	5	0.51415	0.79321	0.92091
GO_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	20	0.62868	0.98801	1	0.37132	0.012987	0.078381	0.31189	0.15884	0.54369	9	0.52138	0.92108	1	11	0.14048	0.001998	0.046393
GO_HISTONE_PHOSPHORYLATION	24	0.28552	0.003996	0.13849	0.71448	0.997	1	0.29261	0.066933	0.42296	19	0.2823	0.11289	0.82972	5	0.33177	0.34665	0.65144
GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	97	0.51019	0.92208	1	0.48981	0.078921	0.25025	0.3499	0.15584	0.54349	50	0.38918	0.6973	1	47	0.30812	0.020979	0.17997
GO_MULTICELLULAR_ORGANISM_REPRODUCTION	649	0.46027	0.5045	1	0.53973	0.4965	0.73959	0.37957	0.4006	0.75491	360	0.36913	0.50949	1	289	0.39258	0.36264	0.66196
GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	61	0.31903	0.001998	0.084411	0.68097	0.999	1	0.29682	0.012987	0.23905	47	0.3088	0.098901	0.81172	14	0.25659	0.040959	0.25913
GO_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	10	0.2683	0.035964	0.50808	0.7317	0.96503	1	0.31903	0.26873	0.65249	7	0.18259	0.051948	0.70258	3	0.63739	0.9001	0.96751
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	1102	0.43829	0.012987	0.29544	0.56171	0.98801	1	0.374	0.19181	0.57882	628	0.34246	0.011988	0.46606	474	0.41578	0.89111	0.96392
GO_PHOSPHORYLATION	1178	0.48589	0.998	1	0.51411	0.002997	0.029348	0.40043	0.98202	0.99129	611	0.39481	0.98901	1	567	0.40648	0.71628	0.88071
GO_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS	21	0.52607	0.81219	1	0.47393	0.18881	0.41711	0.39717	0.58142	0.83817	10	0.42178	0.73826	1	11	0.37479	0.3966	0.68361
GO_STRIATED_MUSCLE_ADAPTATION	22	0.57106	0.92308	1	0.42894	0.077922	0.24832	0.46908	0.9021	0.9665	9	0.5248	0.92607	1	13	0.43051	0.61738	0.82151
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	131	0.50034	0.91708	1	0.49966	0.083916	0.26013	0.34795	0.1039	0.48311	66	0.35355	0.37063	0.9842	65	0.34225	0.064935	0.32358
GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	179	0.49502	0.8981	1	0.50498	0.1029	0.29297	0.38473	0.54146	0.81559	86	0.34933	0.2987	0.95895	93	0.41747	0.72627	0.88685
GO_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	196	0.47301	0.72428	1	0.52699	0.27672	0.5237	0.37116	0.32767	0.70629	100	0.33084	0.10989	0.82972	96	0.41316	0.68531	0.86007
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	34	0.55303	0.95205	1	0.44697	0.048951	0.18481	0.34206	0.23976	0.62711	15	0.37453	0.53746	1	19	0.31642	0.12887	0.42431
GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS	85	0.46207	0.52048	1	0.53793	0.48052	0.72577	0.36974	0.37463	0.73565	46	0.34761	0.31269	0.95895	39	0.39585	0.46853	0.73322
GO_PROSTATE_GLANDULAR_ACINUS_DEVELOPMENT	11	0.55664	0.80919	1	0.44336	0.19181	0.42039	0.26951	0.12188	0.50957	5	0.32107	0.38262	0.99279	6	0.22655	0.1009	0.38182
GO_REGULATION_OF_PROTEOLYSIS	675	0.49392	0.99401	1	0.50608	0.006993	0.051274	0.35901	0.021978	0.28845	346	0.3629	0.39061	0.99436	329	0.35493	0.005994	0.093604
GO_ENDOCYTOSIS	462	0.48081	0.9011	1	0.51919	0.0999	0.2872	0.37333	0.26274	0.6484	245	0.37295	0.59041	1	217	0.37375	0.11389	0.40214
GO_PROTEIN_LOCALIZATION_TO_NUCLEUS	151	0.48635	0.82517	1	0.51365	0.17582	0.40018	0.34535	0.066933	0.42296	79	0.34826	0.27173	0.95895	72	0.34217	0.045954	0.27393
GO_PEPTIDE_CATABOLIC_PROCESS	22	0.61664	0.96703	1	0.38336	0.033966	0.14743	0.35865	0.35764	0.72814	8	0.43892	0.73726	1	14	0.31279	0.14186	0.4415
GO_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	12	0.53126	0.77522	1	0.46874	0.22577	0.46303	0.34138	0.34665	0.72093	6	0.40389	0.63936	1	6	0.27887	0.2008	0.52416
GO_RAC_PROTEIN_SIGNAL_TRANSDUCTION	18	0.41906	0.27572	1	0.58094	0.72527	0.91013	0.39492	0.58142	0.83817	11	0.37249	0.53047	1	7	0.43018	0.6044	0.81548
GO_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	20	0.51485	0.74226	1	0.48515	0.25874	0.5043	0.23472	0.018981	0.27338	10	0.26441	0.17882	0.915	10	0.20502	0.01998	0.17722
GO_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	25	0.65929	0.998	1	0.34071	0.002997	0.029348	0.36828	0.41459	0.75965	8	0.51073	0.8981	1	17	0.30125	0.095904	0.37541
GO_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	41	0.38654	0.095904	0.86294	0.61346	0.90509	1	0.39024	0.58142	0.83817	26	0.34031	0.34466	0.97858	15	0.4768	0.83017	0.93661
GO_POSITIVE_REGULATION_OF_SECRETION	352	0.46927	0.67932	1	0.53073	0.32168	0.57331	0.35891	0.088911	0.46621	195	0.3659	0.43057	1	157	0.35023	0.01998	0.17722
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	190	0.42552	0.088911	0.83385	0.57448	0.91209	1	0.41458	0.94406	0.97916	113	0.38259	0.6953	1	77	0.46152	0.96503	0.99418
GO_POSITIVE_REGULATION_OF_CELL_CYCLE	306	0.43172	0.060939	0.68092	0.56828	0.94006	1	0.34874	0.027972	0.30638	177	0.319	0.008991	0.39454	129	0.38954	0.36963	0.66639
GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	519	0.48123	0.91409	1	0.51877	0.086913	0.26626	0.34887	0.004995	0.15073	265	0.32561	0.006993	0.33688	254	0.37313	0.088911	0.36545
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	64	0.36964	0.022977	0.39202	0.63036	0.97802	1	0.3621	0.31269	0.69389	45	0.36098	0.42857	1	19	0.36477	0.33467	0.64031
GO_NEURONAL_ACTION_POTENTIAL	25	0.48253	0.61738	1	0.51747	0.38362	0.63663	0.37453	0.46653	0.78303	13	0.365	0.51349	1	12	0.38485	0.43157	0.70915
GO_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	49	0.31568	0.003996	0.13849	0.68432	0.997	1	0.38303	0.49251	0.79794	34	0.28978	0.06993	0.75409	15	0.59439	0.99401	1
GO_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	23	0.68269	0.999	1	0.31731	0.001998	0.022784	0.30794	0.12587	0.51274	8	0.53041	0.92507	1	15	0.1893	0.003996	0.073233
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	29	0.41599	0.26573	1	0.58401	0.73526	0.91329	0.33831	0.24176	0.63048	17	0.29232	0.15684	0.88214	12	0.40348	0.50849	0.76136
GO_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	14	0.47796	0.59341	1	0.52204	0.40759	0.65844	0.2595	0.070929	0.43102	7	0.21541	0.092907	0.80971	7	0.30358	0.21479	0.53885
GO_BASEMENT_MEMBRANE_ORGANIZATION	11	0.46749	0.4995	1	0.53251	0.5015	0.74229	0.36454	0.42557	0.76721	5	0.22948	0.17283	0.91064	6	0.47709	0.73926	0.89555
GO_SOMITE_DEVELOPMENT	73	0.52416	0.93706	1	0.47584	0.063936	0.21733	0.37005	0.35365	0.72494	34	0.37561	0.59141	1	39	0.36521	0.23576	0.5547
GO_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	97	0.52734	0.96404	1	0.47266	0.036963	0.15542	0.38001	0.48052	0.79376	46	0.40396	0.76923	1	51	0.3584	0.16583	0.47665
GO_NEGATIVE_REGULATION_OF_VIRAL_RELEASE_FROM_HOST_CELL	16	0.54449	0.81219	1	0.45551	0.18881	0.41711	0.47898	0.8991	0.96525	6	0.42394	0.69031	1	10	0.512	0.88112	0.95967
GO_SERINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	39	0.69705	1	1	0.30295	0.000999	0.013594	0.31245	0.083916	0.45231	11	0.47979	0.87113	1	28	0.2467	0.003996	0.073233
GO_SERTOLI_CELL_DIFFERENTIATION	18	0.61593	0.97502	1	0.38407	0.025974	0.12363	0.31598	0.18382	0.57342	7	0.41864	0.70729	1	11	0.25065	0.054945	0.30047
GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	28	0.5287	0.86214	1	0.4713	0.13886	0.35099	0.44458	0.85015	0.94684	12	0.41897	0.71928	1	16	0.46379	0.7992	0.92251
GO_RNA_SPLICING	347	0.35861	0.000999	0.053392	0.64139	1	1	0.37907	0.42757	0.76721	239	0.34396	0.13886	0.85596	108	0.45677	0.97702	0.99874
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_DEVELOPMENT	13	0.53615	0.78621	1	0.46385	0.21479	0.44858	0.19953	0.014985	0.25275	5	0.046155	0.006993	0.33688	7	0.19472	0.025974	0.20139
GO_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	82	0.46121	0.51349	1	0.53879	0.48751	0.73209	0.4047	0.72927	0.90592	47	0.41303	0.83117	1	35	0.39351	0.46254	0.72976
GO_REGULATION_OF_MUSCLE_ADAPTATION	61	0.5159	0.90709	1	0.4841	0.093906	0.27901	0.41222	0.76424	0.91926	30	0.43474	0.87812	1	31	0.39042	0.45155	0.72114
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	147	0.64157	1	1	0.35843	0.000999	0.013594	0.31907	0.006993	0.1733	49	0.4033	0.80719	1	98	0.27695	0.000999	0.030556
GO_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT	11	0.38505	0.21878	1	0.61495	0.78222	0.94368	0.51159	0.91009	0.96841	8	0.50616	0.89011	1	3	0.52607	0.75325	0.9019
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	933	0.49751	1	1	0.50249	0.000999	0.013594	0.37055	0.12288	0.51118	463	0.36077	0.2967	0.95895	470	0.38019	0.073926	0.34081
GO_FEMALE_GENITALIA_DEVELOPMENT	16	0.57149	0.89011	1	0.42851	0.11089	0.30421	0.22022	0.014985	0.25275	6	0.15093	0.027972	0.57661	10	0.26179	0.081918	0.35549
GO_NEUROBLAST_PROLIFERATION	28	0.40786	0.1968	1	0.59214	0.8042	0.96234	0.22567	0.001998	0.096338	18	0.25441	0.071928	0.76264	10	0.17394	0.007992	0.11008
GO_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	10	0.71238	0.98801	1	0.28762	0.012987	0.078381	0.20793	0.037962	0.35156	2	0.081692	0.11389	0.82972	8	0.23949	0.067932	0.32855
GO_MIDGUT_DEVELOPMENT	14	0.79785	1	1	0.20215	0.000999	0.013594	0.36262	0.40959	0.75827	1	0.70823	0.82218	1	13	0.33603	0.21479	0.53885
GO_MITOCHONDRION_DISTRIBUTION	10	0.47948	0.58142	1	0.52052	0.41958	0.66832	0.22503	0.055944	0.39707	6	0.32	0.37562	0.98858	4	0.082581	0.008991	0.11558
GO_PEPTIDYL_METHIONINE_MODIFICATION	12	0.50367	0.68432	1	0.49633	0.31668	0.56898	0.3736	0.48052	0.79376	7	0.46938	0.82617	1	5	0.2395	0.13886	0.44115
GO_IMMUNOLOGICAL_SYNAPSE_FORMATION	11	0.49228	0.60639	1	0.50772	0.39461	0.64784	0.49079	0.88312	0.95994	7	0.58778	0.97103	1	4	0.32106	0.32268	0.6321
GO_VITAMIN_METABOLIC_PROCESS	113	0.65352	1	1	0.34648	0.000999	0.013594	0.33926	0.061938	0.41504	36	0.44489	0.91808	1	77	0.28987	0.001998	0.046393
GO_MUSCLE_CELL_DEVELOPMENT	119	0.53725	0.99001	1	0.46275	0.010989	0.069939	0.38961	0.63237	0.85785	56	0.42994	0.93007	1	62	0.34334	0.073926	0.34081
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	128	0.43345	0.17982	1	0.56655	0.82118	0.96959	0.34095	0.061938	0.41504	78	0.35003	0.30769	0.95895	50	0.32679	0.051948	0.28871
GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	70	0.44034	0.31269	1	0.55966	0.68831	0.88477	0.33783	0.11089	0.49338	45	0.39218	0.69431	1	25	0.24	0.003996	0.073233
GO_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS	19	0.43525	0.37562	1	0.56475	0.62537	0.83761	0.37068	0.45954	0.77925	11	0.34465	0.41259	1	8	0.40646	0.51548	0.76461
GO_NEGATIVE_REGULATION_OF_AXONOGENESIS	64	0.44805	0.38961	1	0.55195	0.61139	0.82586	0.38102	0.51648	0.80645	34	0.31963	0.19181	0.92502	30	0.45059	0.82118	0.93073
GO_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	11	0.65497	0.97502	1	0.34503	0.025974	0.12363	0.4221	0.68132	0.88269	2	0.2631	0.35265	0.97928	9	0.45744	0.71129	0.877
GO_OSTEOCLAST_DIFFERENTIATION	28	0.49726	0.71429	1	0.50274	0.28671	0.53417	0.38728	0.53946	0.81559	16	0.45907	0.88112	1	12	0.29156	0.10689	0.39342
GO_CARBOHYDRATE_DERIVATIVE_TRANSPORT	48	0.46616	0.55345	1	0.53384	0.44755	0.69393	0.30697	0.043956	0.37141	25	0.26973	0.04995	0.70258	23	0.34746	0.20579	0.53095
GO_DEFINITIVE_HEMOPOIESIS	16	0.59903	0.93506	1	0.40097	0.065934	0.22208	0.35179	0.38661	0.74404	5	0.27978	0.28571	0.95895	11	0.38453	0.43756	0.71304
GO_RENAL_FILTRATION	8	0.64468	0.92507	1	0.35532	0.075924	0.24388	0.48156	0.81918	0.9344	2	0.54185	0.8042	1	6	0.46146	0.7003	0.86974
